year,constructorId,name,total_points
2018,1,McLaren,97
2018,3,Williams,9
2018,4,Renault,147
2018,5,Toro Rosso,47
2018,6,Ferrari,637
2018,9,Red Bull,433
2018,10,Force India,68
2018,15,Sauber,39
2018,131,Mercedes,690
2018,210,Haas F1 Team,108
2019,1,McLaren,140
2019,3,Williams,1
2019,4,Renault,92
2019,5,Toro Rosso,75
2019,6,Ferrari,573
2019,9,Red Bull,439
2019,51,Alfa Romeo,55
2019,131,Mercedes,863
2019,210,Haas F1 Team,42
2019,211,Racing Point,71
2020,1,McLaren,173
2020,3,Williams,0
2020,4,Renault,144
2020,6,Ferrari,128
2020,9,Red Bull,286
2020,51,Alfa Romeo,7
2020,131,Mercedes,547
2020,210,Haas F1 Team,2
2020,211,Racing Point,163
2020,213,AlphaTauri,87
2021,1,McLaren,364
2021,3,Williams,25
2021,6,Ferrari,368
2021,9,Red Bull,678
2021,51,Alfa Romeo,10
2021,117,Aston Martin,101
2021,131,Mercedes,691
2021,210,Haas F1 Team,0
2021,213,AlphaTauri,144
2021,214,Alpine F1 Team,151
2022,1,McLaren,185
2022,3,Williams,8
2022,6,Ferrari,658
2022,9,Red Bull,843
2022,51,Alfa Romeo,93
2022,117,Aston Martin,48
2022,131,Mercedes,559
2022,210,Haas F1 Team,56
2022,213,AlphaTauri,54
2022,214,Alpine F1 Team,188
